id;bank;product_name;amount_min;amount_max;amount_currency;min_term;max_term;term_unit;rate_branch;rate_klik_bonus;rate_klik_total;url;last_updated;notes;source_file
9;Gorenjska banka d.d.;Depozit 32M;250;500000.0;EUR;32;32.0;months;1.3;0.0;1.3;https://www.gbkr.si/klasicni-depozit/;2026-02-24;redna ponudba;gbkr_depoziti.csv
9;Gorenjska banka d.d.;Depozit 33M;250;500000.0;EUR;33;33.0;months;1.3;0.0;1.3;https://www.gbkr.si/klasicni-depozit/;2026-02-24;redna ponudba;gbkr_depoziti.csv
9;Gorenjska banka d.d.;Depozit 34M;250;500000.0;EUR;34;34.0;months;1.3;0.0;1.3;https://www.gbkr.si/klasicni-depozit/;2026-02-24;redna ponudba;gbkr_depoziti.csv
9;Gorenjska banka d.d.;Depozit 35M;250;500000.0;EUR;35;35.0;months;1.3;0.0;1.3;https://www.gbkr.si/klasicni-depozit/;2026-02-24;redna ponudba;gbkr_depoziti.csv
9;Gorenjska banka d.d.;Depozit 31–90 dni;250;500000.0;EUR;31;90.0;days;0.4;0.0;0.4;https://www.gbkr.si/klasicni-depozit/;2026-02-24;redna ponudba;gbkr_depoziti.csv
9;Gorenjska banka d.d.;Depozit 91–180 dni;250;500000.0;EUR;91;180.0;days;0.6;0.0;0.6;https://www.gbkr.si/klasicni-depozit/;2026-02-24;redna ponudba;gbkr_depoziti.csv
9;Gorenjska banka d.d.;Depozit 181–365 dni;250;500000.0;EUR;181;365.0;days;0.9;0.0;0.9;https://www.gbkr.si/klasicni-depozit/;2026-02-24;redna ponudba;gbkr_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 1M;300;100000.0;EUR;1;1.0;months;0.01;0.0;0.01;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 2M;300;100000.0;EUR;2;2.0;months;0.01;0.0;0.01;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 3M;300;100000.0;EUR;3;3.0;months;0.01;0.0;0.01;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;24/02/2026;redna ponudba;intesa_depoziti.csv
