id;bank;product_name;amount_min;amount_currency;min_term;max_term;term_unit;rate_branch;rate_klik_bonus;rate_klik_total;url;last_updated;notes;source_file
1;NLB d.d.;Depozit 271D;1500;EUR;271;271;days;0.45;0.1;0.55;https://www.nlb.si/content/nlbbanks/nlbsi/sl/osebno/varcevanja-in-nalozbe/izracun-varcevanja.savingscalculate;2026-02-10;scraped from NLB API (Klik obrestna mera);nlb_depoziti.csv
1;NLB d.d.;Depozit 365D;1500;EUR;365;365;days;0.45;0.1;0.55;https://www.nlb.si/content/nlbbanks/nlbsi/sl/osebno/varcevanja-in-nalozbe/izracun-varcevanja.savingscalculate;2026-02-10;scraped from NLB API (Klik obrestna mera);nlb_depoziti.csv
1;NLB d.d.;Depozit 24M;1500;EUR;24;24;months;1.2;0.1;1.3;https://www.nlb.si/content/nlbbanks/nlbsi/sl/osebno/varcevanja-in-nalozbe/izracun-varcevanja.savingscalculate;2026-02-10;scraped from NLB API (Klik obrestna mera);nlb_depoziti.csv
1;NLB d.d.;Depozit 36M;1500;EUR;36;36;months;0.7;0.1;0.8;https://www.nlb.si/content/nlbbanks/nlbsi/sl/osebno/varcevanja-in-nalozbe/izracun-varcevanja.savingscalculate;2026-02-10;scraped from NLB API (Klik obrestna mera);nlb_depoziti.csv
1;NLB d.d.;Depozit 48M;1500;EUR;48;48;months;0.7;0.1;0.8;https://www.nlb.si/content/nlbbanks/nlbsi/sl/osebno/varcevanja-in-nalozbe/izracun-varcevanja.savingscalculate;2026-02-10;scraped from NLB API (Klik obrestna mera);nlb_depoziti.csv
1;NLB d.d.;Depozit 60M;1500;EUR;60;60;months;0.7;0.1;0.8;https://www.nlb.si/content/nlbbanks/nlbsi/sl/osebno/varcevanja-in-nalozbe/izracun-varcevanja.savingscalculate;2026-02-10;scraped from NLB API (Klik obrestna mera);nlb_depoziti.csv
2;OTP banka d.d.;Depozit od 8 do 14 dni;do 15.000;EUR;8;14;days;0.01;0.0;0.01;https://www.otpbanka.si/obrestne-mere-kratkorocni-depozit;2026-02-10;scraped via Selenium;otp_depoziti.csv
2;OTP banka d.d.;Depozit od 8 do 14 dni;nad 15.000 do 50.000;EUR;8;14;days;0.01;0.0;0.01;https://www.otpbanka.si/obrestne-mere-kratkorocni-depozit;2026-02-10;scraped via Selenium;otp_depoziti.csv
2;OTP banka d.d.;Depozit od 8 do 14 dni;nad 50.000;EUR;8;14;days;0.01;0.0;0.01;https://www.otpbanka.si/obrestne-mere-kratkorocni-depozit;2026-02-10;scraped via Selenium;otp_depoziti.csv
2;OTP banka d.d.;Depozit od 15 do 30 dni;do 15.000;EUR;15;30;days;0.01;0.0;0.01;https://www.otpbanka.si/obrestne-mere-kratkorocni-depozit;2026-02-10;scraped via Selenium;otp_depoziti.csv
