id;bank;product_name;amount_min;amount_max;amount_currency;min_term;max_term;term_unit;rate_branch;rate_klik_bonus;rate_klik_total;offer_type;source;url;last_updated;notes;source_file
9;Gorenjska banka d.d.;Depozit 61–90 dni;250;500000.0;EUR;61;90.0;days;0.4;0.0;0.4;regular;pdf;https://www.gbkr.si/wp-content/uploads/pdfs/obrestne-mere-za-depozite-za-prebivalstvo.pdf;2026-02-28;scraped via PDF;gbkr_depoziti.csv
9;Gorenjska banka d.d.;Depozit 91–180 dni;250;500000.0;EUR;91;180.0;days;0.6;0.0;0.6;regular;pdf;https://www.gbkr.si/wp-content/uploads/pdfs/obrestne-mere-za-depozite-za-prebivalstvo.pdf;2026-02-28;scraped via PDF;gbkr_depoziti.csv
9;Gorenjska banka d.d.;Depozit 181–270 dni;250;500000.0;EUR;181;270.0;days;0.9;0.0;0.9;regular;pdf;https://www.gbkr.si/wp-content/uploads/pdfs/obrestne-mere-za-depozite-za-prebivalstvo.pdf;2026-02-28;scraped via PDF;gbkr_depoziti.csv
9;Gorenjska banka d.d.;Depozit 271–365 dni;250;500000.0;EUR;271;365.0;days;0.9;0.0;0.9;regular;pdf;https://www.gbkr.si/wp-content/uploads/pdfs/obrestne-mere-za-depozite-za-prebivalstvo.pdf;2026-02-28;scraped via PDF;gbkr_depoziti.csv
9;Gorenjska banka d.d.;Depozit 13–23M;250;500000.0;EUR;13;23.0;months;1.2;0.0;1.2;regular;pdf;https://www.gbkr.si/wp-content/uploads/pdfs/obrestne-mere-za-depozite-za-prebivalstvo.pdf;2026-02-28;scraped via PDF;gbkr_depoziti.csv
9;Gorenjska banka d.d.;Depozit 24–35M;250;500000.0;EUR;24;35.0;months;1.3;0.0;1.3;regular;pdf;https://www.gbkr.si/wp-content/uploads/pdfs/obrestne-mere-za-depozite-za-prebivalstvo.pdf;2026-02-28;scraped via PDF;gbkr_depoziti.csv
9;Gorenjska banka d.d.;Depozit 13–23M;250;500000.0;EUR;13;23.0;months;1.9;0.0;1.9;regular;pdf;https://www.gbkr.si/wp-content/uploads/pdfs/obrestne-mere-za-depozite-za-prebivalstvo.pdf;2026-02-28;scraped via PDF;gbkr_depoziti.csv
9;Gorenjska banka d.d.;Depozit 24–35M;250;500000.0;EUR;24;35.0;months;1.7;0.0;1.7;regular;pdf;https://www.gbkr.si/wp-content/uploads/pdfs/obrestne-mere-za-depozite-za-prebivalstvo.pdf;2026-02-28;scraped via PDF;gbkr_depoziti.csv
9;Gorenjska banka d.d.;Depozit 13–23M;250;500000.0;EUR;13;23.0;months;2.1;0.0;2.1;regular;pdf;https://www.gbkr.si/wp-content/uploads/pdfs/obrestne-mere-za-depozite-za-prebivalstvo.pdf;2026-02-28;scraped via PDF;gbkr_depoziti.csv
9;Gorenjska banka d.d.;Depozit 24–35M;250;500000.0;EUR;24;35.0;months;2.0;0.0;2.0;regular;pdf;https://www.gbkr.si/wp-content/uploads/pdfs/obrestne-mere-za-depozite-za-prebivalstvo.pdf;2026-02-28;scraped via PDF;gbkr_depoziti.csv
9;Gorenjska banka d.d.;Depozit 13–23M;250;500000.0;EUR;13;23.0;months;2.3;0.0;2.3;regular;pdf;https://www.gbkr.si/wp-content/uploads/pdfs/obrestne-mere-za-depozite-za-prebivalstvo.pdf;2026-02-28;scraped via PDF;gbkr_depoziti.csv
9;Gorenjska banka d.d.;Depozit 24–35M;250;500000.0;EUR;24;35.0;months;2.2;0.0;2.2;regular;pdf;https://www.gbkr.si/wp-content/uploads/pdfs/obrestne-mere-za-depozite-za-prebivalstvo.pdf;2026-02-28;scraped via PDF;gbkr_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 1M;300;100000.0;EUR;1;1.0;months;0.01;0.0;0.01;regular;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;28/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 2M;300;100000.0;EUR;2;2.0;months;0.01;0.0;0.01;regular;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;28/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 3M;300;100000.0;EUR;3;3.0;months;0.01;0.0;0.01;regular;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;28/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 4M;300;100000.0;EUR;4;4.0;months;0.01;0.0;0.01;regular;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;28/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 5M;300;100000.0;EUR;5;5.0;months;0.01;0.0;0.01;regular;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;28/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 6M;300;50000.0;EUR;6;6.0;months;0.8;0.0;0.8;regular;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;28/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 6M;50000;100000.0;EUR;6;6.0;months;1.0;0.0;1.0;regular;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;28/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 7M;300;50000.0;EUR;7;7.0;months;0.8;0.0;0.8;regular;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;28/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 7M;50000;100000.0;EUR;7;7.0;months;1.0;0.0;1.0;regular;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;28/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 8M;300;50000.0;EUR;8;8.0;months;0.8;0.0;0.8;regular;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;28/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 8M;50000;100000.0;EUR;8;8.0;months;1.0;0.0;1.0;regular;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;28/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 9M;300;50000.0;EUR;9;9.0;months;0.8;0.0;0.8;regular;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;28/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 9M;50000;100000.0;EUR;9;9.0;months;1.0;0.0;1.0;regular;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;28/02/2026;redna ponudba;intesa_depoziti.csv
3;Intesa Sanpaolo Bank;Depozit 10M;300;50000.0;EUR;10;10.0;months;0.8;0.0;0.8;regular;pdf;https://www.intesasanpaolobank.si/document/documents/ISPSLOVENIA/dokumenti-splosni/Obrestne-mere_varcevanja-in-depoziti.pdf;28/02/2026;redna ponudba;intesa_depoziti.csv
